content,cleaned_text
selalu di minta update. sikit2 minta update. SETELAH DI UPDATE GA BISA DI BUKA SAMA SEKALI. SETELAH MUNCUL LOGO BCA LANGSUNG KELUAR TRUS APLIKASINYA SEBELUM MUNCUL YG LAIN.,update sikit update update buka muncul logo bca langsung trus aplikasi muncul
"haduh kacau. TF 170.000 yg di terima 120.000. selisih 50.000 loh ini. saya tanya sama cs katanya ada saldo yg mengendap. apa apaan ini, bank besar bisa korupsi dgn alasan saldo mengendap.",haduh kacau tf terima selisih loh cs saldo endap bank korupsi dgn alas saldo endap
mudah Dan cepat semoga tetap membantu,mudah cepat moga bantu
klo bisa jangan update2 terus.soalnya lemot klo MW masuk aplikasi,klo jangan update klo mw masuk aplikasi
mantap dan sangat membantu,mantap bantu
"benerin lagi servernya jelek banget aplikasi error mulu,",benerin servernya jelek aplikasi error mulu
penggunaan yang lebih mudah dengan fitur aplikasi yang lebih simpel dan modern,guna mudah fitur aplikasi simpel modern
buat cashflow saya enak,cashflow enak
lemot di hp gua,hp gua
"ampas. susah dapet otp. telfon cs malah customer di salah salahin. apk nya ampas pabos bu bos tolong kondisikan. bri aja otp masuk via wa ini kuno banget pake sms, mana gak masuk masuk.",ampas susah dapet otp telfon cs customer salah salahin apk ampas pabos bu bos tolong kondisi bri otp masuk via wa kuno pake sms masuk masuk
"aplikasi lemot, kalah cepat oleh seabank",aplikasi kalah cepat seabank
"saya dari dlu pengguna BCA, gara2 sperti ini saya merasa KECEWA dengan BCA👎. dlu saya di tawarin sales kartu kredit bca di mall2 dan di ACC krtu kredit BCA saya, tapi... kartu kredut BCA sy tidak pernah saya pakai sama sekali masih di dalam amplop. tahu2 ada tagihan iuran tahunan Auto debit, pdahal kartu kredit itu blm pernah saya aktifkan.👎👎👎👎👎👎👎👎👎 nengambil uang tanpa persetujuan pemilik itu namanya apa???",dlu guna bca gara sperti kecewa bca dlu tawarin sales kartu kredit bca mall acc krtu kredit bca kartu kredut bca sy tidak pakai amplop tagih iur tahun auto debit pdahal kartu kredit blm aktif nengambil uang tuju milik nama
membantu dalam penyimpanan keuangan,bantu simpan uang
"Kenapa setelah memasukan IDBCA pada saat memasukkan nomor tidak ada negara Indonesia ya, padahal gps sudah nyala juga",pasu idbca masuk nomor tidak negara indonesia gps nyala
sangat membatu,batu
"ini gimana sih, transaksi sering bngt pending, saldo udh berkurang kok ttep pending ga masuk²",gimana sih transaksi bngt pending saldo udh kurang ttep pending masuk
bagus,bagus
sering banget lemot,
sangat bagus,bagus
mau login susruh vidio call dulu giliran mau vidio call gangguan mulu pea berat,login susruh vidio call gilir vidio call ganggu mulu pea berat
Terlalu sering banyak update apk ini,update apk
"sudah ber ulang kali unfad, hasil nya ga tentu",ber ulang kali unfad hasil
"kalo ada pengeluaran untuk pemeliharaan akun tolong kasih tau dong jangan tiba-tiba saldonya kepotong sendiri tanpa ada pemberitahuan, belum ada perubahan gimana ini?",kalo keluar pelihara akun tolong kasih tau jangan saldo potong pemberitahuan belum ubah gimana
Aplikasi tolol. lemot.,aplikasi tolol
mentang mentang hp saya jadul udh GK bisa d update dan GK bisa d pake😭😭,mentang mentang hp jadul udh update pake
biaya otp ditanggung user?,biaya otp tanggung user
good,good
masa updatenya sering bgt mana setiap update memorinya semakin nambah jdi Kya saya yang ram nya kecil ga bisa update,updatenya bgt update memori nambah jdi kya ram update
sering banget minta update,update
ok,ok
sangat baik,
sangat bagus,bagus
kebayakan ganguan .. hampir tiap hari ganguan terus bikin susah mau transaksi.. tolong di perbaiki bikin malu aj,kebaya ganguan ganguan bikin susah transaksi tolong baik bikin malu aj
good,good
sangat banyak manfaat,manfaat
makin lemot Udah d update.. kadang malah gbsa masuk ke aplikasi nya,update kadang gbsa masuk aplikasi
saya mau masuk m-banking selalu tidak menerima kode otp nya,masuk banking tidak terima kode otp
sumpah di suruh update terbaru terus dan itu sangat menggangu. juga lemot sekali aplikasi nya,sumpah suruh update baru menggangu aplikasi
sangat membantu dn mempermudah,bantu dn mudah
suruh update tapi malah lemot,suruh update
saldo nya kosong boss,saldo kosong boss
"customer service nya GK ngangkat sama sekali, padahal udh beberapa kali di tlpn",customer service ngangkat udh kali tlpn
terlalu lelet,lelet
sangat memuaskan,muas
lemot,
apakah bisa digunakan di Singapura dengan nomor Singapura ?,singapura nomor singapura
"Update pake OPPO A17 CPH1717 kenapa ga bisa ya, disitu muncul Perangkat anda tidak kompetibel solusinya gmn ya ?",update pake oppo cph situ muncul perangkat tidak kompetibel solusi gmn
mantap,mantap
verifikasi gagal gabisa diulang,verifikasi gagal gabisa ulang
kenapa sekarang my bca ngga bisa di hp saya.padahal saya selalu bertransaksi menggunakan mybca,bca ngga hp transaksi mybca
tolong perbaiki aplikasi mybca sertifikasi wajah selalu gagal sudah sesuai dengan aturan tetapi selalu gagal dialihkan dengan video call susah berapa kali tidak pernah diangkat sangat jelek aplikasi mybca,tolong baik aplikasi mybca sertifikasi wajah gagal sesuai atur gagal alih video call susah kali tidak angkat jelek aplikasi mybca
kenapa sering terkeluar sendiri baru masukin id sama pw otp nya harus ada pulsa terus sebulan 2 kali saldo ngurang terus capek juga lama lama begini hedeh makin jelek bca sekarang di pe ribet apa pindah bank lain ya tolong di perbaiki lagi 🙏,keluar masukin id pw otp pulsa bulan kali saldo ngurang capek hedeh jelek bca pe ribet pindah bank tolong baik
goodd,goodd
pemberitahuan disuruh update..tapi aplikkasi tidak kompatibel dengan perangkat...bagaimana solusinya,pemberitahuan suruh update aplikkasi tidak kompatibel perangkat solusi
masa update 10 hari sih 3 bulan atau 6 bulan update baru bener,update sih update bener
bagus banget,bagus
daftar BCA online,daftar bca online
sangat membantu,bantu
bagus,bagus
semenjak update ni apk bkn nya bagus malah nge lag mlu pdhal jaringan bagus tolong pihak bca buat di perbaiki,semenjak update ni apk bkn bagus nge lag mlu pdhal jaring bagus tolong bca baik
nyesel gua buka rekening di sini,nyesel gua buka rekening
pelayanannya buruk dah gua tanya selalu aja di lempar lempar ke aplikasi satunya mulu klo emg gabisa yaudah gitu aja,layan buruk dah gua lempar lempar aplikasi satu mulu klo emg gabisa yaudah gitu
"aman, cepat, terpercaya 👍",aman cepat percaya
HARUS UPDATE TERUS TAPI MALAH TAMBAH LEMOT,update
ok,ok
"kok udh masuk tapi malah balik lagi masukin nomer hp terus yaa sampe 5 kali kaya gitu terus mau masuk kirim kode otp terus, kenapa ya gangguan kah?",udh masuk masukin nomer hp yaa sampe kali kaya gitu masuk kirim kode otp ganggu kah
"kenapa setiap menerima tf selalu pending!! padahal jaringan bagus, bikin orang susah kalo mau tf atau nerima tf,, enak pake blu ga pernah kendala",terima tf pending jaring bagus bikin orang susah kalo tf nerima tf enak pake blu kendala
jelek aplikasi sering eror banyak mnta update,jelek aplikasi eror mnta update
gak ada pilhan negara indonesia waktu memasukan nomor hape,pilhan negara indonesia pasu nomor hape
Biarkan Bintang Yang Berbicara,biar bintang bicara
BCA Kenapa sih mesti perbarui melulu,bca sih mesti baru melulu
mau aktivasi aja susahnya minta ampun mana ngabisin pulsa🤦‍♂️,aktivasi susah ampun ngabisin pulsa
jelek banget bca,jelek bca
"saya udah nyaman dengan fitur yang ada ,ngapain harus update yang baru ,hp saya memorynya kecil /hab is ga cukup ,fitur yang baru butuh ruang penyimpanan besar 🤦🤦🤦 jadi gabisa buka m bangking ,harus update baru ,ribet",nyaman fitur ngapain update hp memorynya hab is fitur butuh ruang simpan gabisa buka bangking update ribet
kenapa sering bgt minta update sih 🤦,bgt update sih
good,good
kenapa aplikasinya sering sekali minta update????,aplikasi update
Alhamdulillah aplikasi nya bagus,alhamdulillah aplikasi bagus
"update malah makin lemot pol, gak suka",update pol suka
tidak profesional dalam hal penipuan nasabah,tidak profesional tipu nasabah
"ujicoba buka mybca,saya melakukan transaksi dari gopay ke mybca tapi tidak ada transaksi masuk,sudah di cek mutasi rekening pun tidak ada,padahal dari gopay sudah berhasil",ujicoba buka mybca transaksi gopay mybca tidak transaksi masuk cek mutasi rekening tidak gopay hasil
"tolong lah ini mengganggu sekali, kita lagi darurat2nya malah muncul update aplikasi, dan harus saat itu juga di update baru bisa di gunakan. kan bisa nanti atau bagaimana seperti aplikasi lain sambil update di gunakan , ini gak bisa harus tunggu update selesai .",tolong ganggu darurat muncul update aplikasi update aplikasi update tunggu update selesai
good,good
"Bank taik verihal konfirmasi aja bertele tele sdh panjang telpon sana telpon sini nggak menyelesaikan masalah saya kalau kerja gak pake bca ,juga gak kau pake rek bca",bank taik verihal konfirmasi tele tele sdh telpon telpon nggak selesai kerja pake bca kau pake rek bca
sangat membantu,bantu
"Mau update tapi gk bisa, gimana ya caranya",update gimana
transaksi mudah tapi kenapa harus selalu update belum juga 1 bulan gimana ini,transaksi mudah update belum gimana
